transaction_id,timestamp,customer_id,customer_age,merchant_id,merchant_name,merchant_category,country,ip_country,currency,payment_method,device_type,amount,risk_score,status,fee_amount,net_revenue,chargeback_loss_est,ip_country_missing,device_type_missing,merchant_category_missing,payment_method_missing,risk_score_missing,customer_age_missing,country_mismatch
23,2024-05-13 06:16:10,120898,46.0,26774,Merchant_26774,food_delivery,DE,DE,GBP,card,android,34.47,18.0,captured,0.61,0.61,0.0,0,0,0,0,0,0,0
24,2025-11-07 12:55:21,165045,60.0,22800,Merchant_22800,gaming,TR,TR,TRY,card,android,788.96,14.0,failed,10.2,0.0,0.0,0,0,0,0,0,0,0
25,2025-07-24 13:03:42,153444,54.0,28558,Merchant_28558,ecommerce,TR,TR,TRY,bank_transfer,unknown,890.09,17.0,captured,15.03,15.03,0.0,0,1,0,0,0,0,0
26,2025-04-15 00:31:00,157685,64.0,21767,Merchant_21767,saas,TR,TR,TRY,card,android,821.54,15.0,captured,12.22,12.22,0.0,0,0,0,0,0,0,0
27,2024-10-20 18:17:58,131132,23.0,29685,Merchant_29685,ecommerce,ES,ES,EUR,card,web,42.41,10.0,captured,0.69,0.69,0.0,0,0,0,0,0,0,0
28,2025-08-23 14:47:00,175133,44.0,25033,Merchant_25033,saas,TR,GB,TRY,card,android,654.11,4.0,failed,15.27,0.0,0.0,0,0,0,0,0,1,1
29,2025-02-02 03:55:05,188097,29.0,23307,Merchant_23307,saas,ES,ES,EUR,card,unknown,16.07,16.0,failed,0.25,0.0,0.0,0,1,0,0,0,0,0
30,2024-11-19 16:37:00,172599,47.0,27503,Merchant_27503,ecommerce,TR,TR,TRY,card,ios,398.61,8.0,captured,7.4,7.4,0.0,1,0,0,0,0,0,0
31,2024-11-24 20:03:04,190314,41.0,24171,Merchant_24171,ecommerce,IT,IT,EUR,card,android,57.24,14.0,captured,0.87,0.87,0.0,0,0,0,0,0,0,0
32,2024-06-14 21:13:20,111052,45.0,22695,Merchant_22695,ecommerce,GB,GB,USD,card,ios,29.25,17.0,captured,0.55,0.55,0.0,0,0,0,0,0,0,0
33,2024-03-08 06:13:16,165704,46.0,26835,Merchant_26835,ecommerce,AE,AE,USD,card,android,25.87,11.0,captured,0.66,0.66,0.0,1,0,0,0,0,0,0
34,2025-02-08 20:19:31,199945,27.0,27219,Merchant_27219,ecommerce,DE,DE,USD,card,android,40.96,10.0,captured,1.04,1.04,0.0,0,0,0,0,0,0,0
35,2025-10-10 03:49:48,153567,32.0,26032,Merchant_26032,marketplace,NL,NL,EUR,card,android,42.0,8.0,captured,0.73,0.73,0.0,1,0,0,0,0,0,0
36,2024-02-16 14:04:41,194188,56.0,24619,Merchant_24619,travel,FR,FR,EUR,wallet,android,34.93,23.0,captured,1.0,1.0,0.0,0,0,0,0,0,0,0
37,2025-09-18 13:15:48,134837,60.0,23287,Merchant_23287,travel,TR,TR,TRY,unknown,android,1833.57,42.0,captured,59.72,59.72,0.0,0,0,0,1,0,0,0
38,2025-08-27 04:05:53,189658,41.0,24037,Merchant_24037,saas,ES,ES,EUR,card,android,41.86,10.0,captured,1.15,1.15,0.0,1,0,0,0,0,0,0
39,2024-07-21 00:49:47,193879,59.0,28742,Merchant_28742,ecommerce,DE,DE,USD,card,web,37.46,5.0,failed,0.49,0.0,0.0,0,0,0,0,0,0,0
40,2025-04-06 02:45:36,162228,50.0,23594,Merchant_23594,saas,TR,TR,TRY,wallet,web,1957.52,38.0,captured,33.54,33.54,0.0,0,0,0,0,0,0,0
41,2024-04-30 14:48:48,170458,56.0,29670,Merchant_29670,saas,TR,TR,TRY,wallet,unknown,1569.42,23.0,captured,43.31,43.31,0.0,0,1,0,0,0,0,0
42,2025-07-07 09:41:49,152278,43.0,21455,Merchant_21455,ecommerce,GB,GB,USD,card,android,47.6,12.0,captured,1.3,1.3,0.0,0,0,0,0,0,0,0
43,2025-05-26 09:09:44,131695,21.0,21627,Merchant_21627,food_delivery,IT,IT,USD,card,unknown,8.52,21.0,captured,0.17,0.17,0.0,0,1,0,0,0,0,0
44,2024-09-15 19:17:41,153627,46.0,23326,Merchant_23326,ecommerce,NL,NL,USD,unknown,android,102.1,6.0,captured,3.56,3.56,0.0,0,0,0,1,0,0,0
45,2024-02-19 13:57:30,196242,49.0,20029,Merchant_20029,travel,TR,TR,TRY,card,ios,2530.4,36.0,captured,69.29,69.29,0.0,0,0,0,0,0,0,0
46,2025-12-09 14:37:45,101493,53.0,28791,Merchant_28791,ecommerce,DE,DE,EUR,card,android,55.29,1.0,captured,0.81,0.81,0.0,0,0,0,0,0,0,0
47,2024-11-21 08:26:41,120508,43.0,23403,Merchant_23403,saas,TR,TR,TRY,card,ios,2915.19,34.0,captured,85.63,85.63,0.0,0,0,0,0,0,0,0
48,2025-10-13 23:28:55,149946,62.0,21021,Merchant_21021,travel,TR,TR,TRY,wallet,android,2792.33,49.0,captured,54.37,54.37,0.0,0,0,0,0,0,0,0
49,2025-05-09 21:08:27,133941,49.0,26184,Merchant_26184,travel,AE,AE,EUR,bank_transfer,web,19.45,14.0,captured,0.51,0.51,0.0,0,0,0,0,0,0,0
50,2025-07-22 05:16:43,162376,54.0,29582,Merchant_29582,marketplace,TR,TR,TRY,wallet,ios,408.36,22.0,captured,10.36,10.36,0.0,0,0,0,0,0,0,0
51,2025-07-08 17:26:17,136054,49.0,29936,Merchant_29936,saas,US,US,USD,card,ios,10.33,8.0,captured,0.18,0.18,0.0,0,0,0,0,0,0,0
52,2024-05-22 02:04:12,165869,27.0,21074,Merchant_21074,saas,TR,TR,TRY,card,ios,481.34,12.0,captured,12.94,12.94,0.0,1,0,0,0,0,0,0
53,2024-09-22 15:38:01,110632,21.0,27928,Merchant_27928,food_delivery,TR,TR,TRY,card,ios,1745.96,16.0,failed,45.28,0.0,0.0,0,0,0,0,0,0,0
54,2024-12-06 16:57:07,133213,22.0,23619,Merchant_23619,ecommerce,TR,TR,TRY,card,ios,1903.31,41.0,failed,40.17,0.0,0.0,0,0,0,0,0,0,0
55,2024-12-29 09:18:28,169280,67.0,28361,Merchant_28361,saas,TR,NL,TRY,card,web,1265.56,10.0,captured,36.47,36.47,0.0,0,0,0,0,0,0,1
56,2024-02-01 23:26:31,147127,30.0,26062,Merchant_26062,utilities,US,AE,USD,card,ios,23.47,0.0,captured,0.62,0.62,0.0,0,0,0,0,0,0,1
57,2025-02-02 23:53:51,171366,66.0,27316,Merchant_27316,ecommerce,IT,IT,GBP,wallet,web,101.08,18.0,captured,3.6,3.6,0.0,1,0,0,0,0,0,0
58,2024-04-22 15:09:06,163630,31.0,28377,Merchant_28377,gaming,TR,GB,TRY,card,android,569.03,16.0,captured,17.0,17.0,0.0,0,0,0,0,0,0,1
59,2025-06-26 15:56:45,132849,42.0,28952,Merchant_28952,ecommerce,IT,FR,USD,wallet,ios,13.77,12.0,captured,0.28,0.28,0.0,0,0,0,0,1,0,1
60,2025-05-13 15:01:03,142830,49.0,21435,Merchant_21435,marketplace,DE,DE,USD,card,ios,32.4,16.0,captured,0.79,0.79,0.0,0,0,0,0,0,0,0
61,2025-11-04 10:41:15,196468,51.0,27237,Merchant_27237,unknown,TR,AE,TRY,card,android,1330.77,12.0,captured,28.57,28.57,0.0,0,0,1,0,0,0,1
62,2025-06-27 16:13:58,196212,20.0,21410,Merchant_21410,food_delivery,TR,TR,TRY,card,android,1183.57,1.0,captured,35.38,35.38,0.0,0,0,0,0,0,0,0
63,2024-09-24 15:34:45,103558,22.0,29438,Merchant_29438,ecommerce,TR,TR,TRY,card,android,304.21,13.0,captured,9.21,9.21,0.0,0,0,0,0,0,0,0
64,2025-12-07 06:46:13,170543,46.0,26283,Merchant_26283,gaming,NL,NL,USD,bank_transfer,web,15.1,22.0,captured,0.16,0.16,0.0,0,0,0,0,0,0,0
65,2024-10-26 22:05:53,149097,19.0,21926,Merchant_21926,ecommerce,FR,FR,USD,card,ios,99.39,11.0,captured,2.2,2.2,0.0,0,0,0,0,0,0,0
66,2024-08-25 20:27:36,100127,28.0,22927,Merchant_22927,utilities,TR,TR,TRY,bank_transfer,web,571.36,5.0,captured,16.63,16.63,0.0,0,0,0,0,0,0,0
67,2025-10-23 00:59:11,163410,51.0,28955,Merchant_28955,unknown,TR,TR,TRY,card,web,824.82,16.0,captured,21.29,21.29,0.0,0,0,1,0,0,0,0
68,2024-09-27 10:27:14,102327,36.0,26444,Merchant_26444,food_delivery,TR,TR,TRY,card,ios,867.59,6.0,captured,16.27,16.27,0.0,0,0,0,0,0,0,0
69,2024-02-25 17:31:57,131881,51.0,22292,Merchant_22292,travel,DE,DE,EUR,bank_transfer,unknown,166.98,14.0,captured,3.64,3.64,0.0,0,1,0,0,0,0,0
70,2024-12-08 18:37:04,169029,52.0,28205,Merchant_28205,ecommerce,TR,TR,TRY,card,ios,550.24,13.0,captured,12.84,12.84,0.0,0,0,0,0,0,0,0
71,2025-08-03 20:18:47,181265,65.0,27182,Merchant_27182,ecommerce,GB,GB,USD,unknown,android,45.11,12.0,failed,1.19,0.0,0.0,0,0,0,1,0,0,0
72,2024-05-18 07:32:17,141264,30.0,20768,Merchant_20768,food_delivery,DE,DE,EUR,card,android,18.73,15.0,captured,0.45,0.45,0.0,0,0,0,0,0,0,0
73,2024-12-03 22:43:07,180875,56.0,22832,Merchant_22832,ecommerce,DE,IT,USD,bank_transfer,web,12.3,20.0,captured,0.34,0.34,0.0,0,0,0,0,0,0,1
74,2024-04-04 20:13:29,183946,26.0,28444,Merchant_28444,ecommerce,TR,TR,USD,card,web,33.08,22.0,captured,0.78,0.78,0.0,0,0,0,0,0,0,0
75,2025-05-16 03:05:53,144753,29.0,23507,Merchant_23507,ecommerce,US,US,EUR,card,android,27.41,2.0,captured,0.75,0.75,0.0,0,0,0,0,0,0,0
76,2024-12-13 06:21:01,117301,53.0,20375,Merchant_20375,saas,US,US,EUR,card,android,31.52,2.0,captured,0.84,0.84,0.0,0,0,0,0,0,0,0
77,2024-08-29 01:02:23,165918,29.0,26038,Merchant_26038,saas,AE,AE,USD,card,android,19.7,3.0,failed,0.3,0.0,0.0,1,0,0,0,0,0,0
78,2024-06-14 15:27:06,101382,41.0,28987,Merchant_28987,ecommerce,US,US,EUR,unknown,web,32.0,20.0,captured,0.79,0.79,0.0,1,0,0,1,0,0,0
79,2025-02-16 02:02:17,189320,56.0,25563,Merchant_25563,ecommerce,US,US,EUR,card,ios,21.98,15.0,captured,0.64,0.64,0.0,0,0,0,0,0,0,0
80,2025-05-03 23:08:28,138807,69.0,29755,Merchant_29755,food_delivery,TR,TR,TRY,card,ios,2025.12,35.0,captured,19.61,19.61,0.0,0,0,0,0,0,0,0
81,2025-11-17 10:09:46,176001,21.0,21141,Merchant_21141,marketplace,FR,FR,EUR,card,unknown,18.94,9.0,failed,0.28,0.0,0.0,0,1,0,0,0,0,0
82,2024-11-15 02:54:05,173605,45.0,26673,Merchant_26673,ecommerce,DE,DE,EUR,card,web,35.57,22.0,captured,0.87,0.87,0.0,0,0,0,0,0,0,0
83,2024-04-27 07:15:23,147286,38.0,26496,Merchant_26496,gaming,FR,FR,EUR,card,ios,12.84,27.0,captured,0.33,0.33,0.0,0,0,0,0,0,0,0
84,2025-08-30 20:31:19,197171,41.0,29841,Merchant_29841,saas,DE,DE,USD,card,android,23.04,10.0,failed,0.46,0.0,0.0,0,0,0,0,0,0,0
85,2025-04-04 17:28:14,179630,21.0,25210,Merchant_25210,saas,IT,IT,EUR,bank_transfer,android,26.32,6.0,captured,0.73,0.73,0.0,0,0,0,0,0,0,0
86,2025-05-26 04:38:40,188364,25.0,28219,Merchant_28219,food_delivery,IT,IT,USD,card,ios,14.97,4.0,captured,0.42,0.42,0.0,1,0,0,0,0,0,0
87,2024-03-11 23:24:38,109390,32.0,21453,Merchant_21453,unknown,TR,TR,TRY,card,android,228.88,6.0,failed,4.3,0.0,0.0,0,0,1,0,0,0,0
88,2024-08-16 00:39:48,148406,34.0,20443,Merchant_20443,ecommerce,TR,TR,TRY,card,web,3107.79,46.0,failed,60.03,0.0,0.0,0,0,0,0,0,0,0
89,2025-07-14 12:37:31,195195,47.0,27164,Merchant_27164,utilities,IT,IT,USD,card,ios,18.96,9.0,failed,0.37,0.0,0.0,0,0,0,0,0,0,0
90,2025-08-30 13:11:30,181280,23.0,20038,Merchant_20038,ecommerce,FR,FR,GBP,card,android,65.56,12.0,captured,1.4,1.4,0.0,0,0,0,0,1,0,0
91,2024-11-13 16:59:45,145410,26.0,28747,Merchant_28747,saas,ES,ES,GBP,bank_transfer,android,16.05,14.0,captured,0.3,0.3,0.0,0,0,0,0,0,0,0
92,2025-08-10 11:28:17,107032,35.0,20207,Merchant_20207,ecommerce,US,US,USD,wallet,web,61.16,27.0,captured,1.55,1.55,0.0,0,0,0,0,0,0,0
93,2025-09-06 10:26:29,128221,41.0,26884,Merchant_26884,travel,ES,ES,USD,card,ios,44.3,10.0,captured,1.23,1.23,0.0,0,0,0,0,0,0,0
94,2024-10-09 20:37:16,157226,40.0,24518,Merchant_24518,saas,TR,TR,TRY,card,android,1000.18,15.0,captured,22.1,22.1,0.0,0,0,0,0,0,0,0
95,2025-10-17 14:29:42,164184,19.0,26453,Merchant_26453,ecommerce,GB,GB,GBP,card,android,14.94,19.0,captured,0.25,0.25,0.0,0,0,0,0,0,0,0
96,2024-07-29 11:30:30,192428,35.0,26233,Merchant_26233,saas,US,US,USD,card,web,11.75,20.0,failed,0.26,0.0,0.0,0,0,0,0,0,0,0
97,2024-06-23 21:03:08,109286,69.0,24442,Merchant_24442,ecommerce,TR,TR,TRY,wallet,android,733.11,12.0,captured,5.86,5.86,0.0,0,0,0,0,0,0,0
98,2025-05-13 05:19:16,139638,36.0,24814,Merchant_24814,travel,TR,TR,TRY,card,android,4482.52,31.0,captured,102.47,102.47,0.0,0,0,0,0,0,0,0
99,2025-04-09 20:04:01,127208,46.0,25033,Merchant_25033,travel,TR,TR,TRY,wallet,android,4548.89,40.0,captured,71.56,71.56,0.0,0,0,0,0,0,0,0
100,2024-04-12 00:27:48,196009,33.0,26770,Merchant_26770,gaming,TR,TR,TRY,card,web,758.59,25.0,captured,12.42,12.42,0.0,0,0,0,0,0,0,0
101,2025-08-30 21:32:52,116610,53.0,27101,Merchant_27101,food_delivery,ES,ES,USD,card,unknown,67.78,3.0,captured,1.54,1.54,0.0,0,1,0,0,0,0,0
102,2024-05-25 22:23:30,122068,18.0,24495,Merchant_24495,ecommerce,ES,ES,EUR,card,ios,32.64,3.0,captured,0.81,0.81,0.0,0,0,0,0,0,0,0
103,2025-08-10 13:49:56,129781,48.0,23524,Merchant_23524,travel,IT,IT,USD,card,ios,41.44,14.0,captured,0.78,0.78,0.0,0,0,0,0,1,0,0
104,2024-01-06 08:59:13,110563,58.0,20425,Merchant_20425,travel,ES,GB,USD,card,android,48.27,3.0,captured,1.28,1.28,0.0,0,0,0,0,0,0,1
105,2025-08-04 16:40:55,164346,43.0,27791,Merchant_27791,saas,AE,AE,GBP,card,android,41.66,7.0,captured,1.21,1.21,0.0,0,0,0,0,0,1,0
106,2025-07-28 10:54:54,152475,49.0,22261,Merchant_22261,food_delivery,ES,ES,USD,card,android,18.98,14.0,captured,0.4,0.4,0.0,0,0,0,0,0,0,0
107,2025-07-23 15:58:58,155765,54.0,24341,Merchant_24341,ecommerce,TR,TR,TRY,wallet,android,3065.04,34.0,captured,57.24,57.24,0.0,0,0,0,0,0,0,0
108,2025-04-30 08:11:13,190723,28.0,29925,Merchant_29925,food_delivery,TR,TR,USD,card,android,16.91,8.0,captured,0.38,0.38,0.0,0,0,0,0,0,0,0
109,2024-12-10 05:51:22,143310,65.0,27847,Merchant_27847,ecommerce,IT,IT,EUR,card,android,67.75,7.0,refunded,0.95,0.0,0.0,0,0,0,0,0,0,0
110,2025-05-29 18:29:50,131127,25.0,23458,Merchant_23458,ecommerce,US,US,GBP,card,web,49.0,23.0,captured,0.78,0.78,0.0,0,0,0,0,0,0,0
111,2024-07-21 07:10:15,137541,49.0,24748,Merchant_24748,ecommerce,FR,IT,GBP,card,android,55.39,12.0,captured,1.19,1.19,0.0,0,0,0,0,0,0,1
112,2025-07-23 22:22:21,180015,41.0,23247,Merchant_23247,ecommerce,GB,GB,USD,bank_transfer,android,17.92,16.0,captured,0.35,0.35,0.0,1,0,0,0,0,0,0
113,2025-02-09 14:56:05,152841,30.0,26261,Merchant_26261,gaming,TR,TR,TRY,card,android,134.9,17.0,failed,2.92,0.0,0.0,1,0,0,0,0,0,0
114,2024-12-01 00:12:15,116919,61.0,21527,Merchant_21527,unknown,TR,TR,TRY,card,web,665.65,16.0,captured,16.83,16.83,0.0,1,0,1,0,0,0,0
115,2025-01-04 02:13:17,168979,66.0,29525,Merchant_29525,ecommerce,FR,FR,EUR,card,android,24.25,12.0,captured,0.21,0.21,0.0,0,0,0,0,1,0,0
116,2025-02-19 04:20:44,174556,48.0,29870,Merchant_29870,ecommerce,GB,GB,EUR,card,web,44.56,5.0,captured,0.8,0.8,0.0,0,0,0,0,0,0,0
117,2024-01-28 04:50:08,124992,59.0,22985,Merchant_22985,ecommerce,US,TR,USD,card,android,48.26,2.0,captured,1.0,1.0,0.0,0,0,0,0,0,0,1
118,2024-04-12 01:14:36,155702,32.0,22304,Merchant_22304,food_delivery,DE,DE,EUR,card,android,16.31,15.0,failed,0.22,0.0,0.0,0,0,0,0,0,0,0
119,2024-06-28 04:49:48,156365,42.0,25391,Merchant_25391,utilities,US,US,USD,card,ios,15.54,0.0,captured,0.44,0.44,0.0,0,0,0,0,0,0,0
120,2024-03-24 14:34:00,117501,38.0,26467,Merchant_26467,ecommerce,US,US,EUR,card,android,36.11,1.0,captured,1.28,1.28,0.0,0,0,0,0,0,0,0
121,2024-11-16 22:01:47,100912,41.0,26435,Merchant_26435,unknown,DE,DE,USD,card,android,7.17,13.0,captured,0.17,0.17,0.0,0,0,1,0,0,0,0
122,2025-05-02 22:25:11,171808,30.0,20420,Merchant_20420,ecommerce,US,US,USD,wallet,android,26.99,12.0,refunded,0.4,0.0,0.0,0,0,0,0,1,0,0
123,2025-04-22 17:35:37,161541,49.0,27109,Merchant_27109,unknown,ES,ES,EUR,card,android,16.37,25.0,captured,0.5,0.5,0.0,0,0,1,0,0,0,0
124,2024-12-09 21:36:19,171374,28.0,20664,Merchant_20664,travel,US,US,EUR,card,ios,88.04,2.0,captured,2.27,2.27,0.0,0,0,0,0,0,0,0
125,2025-09-16 05:00:06,137733,36.0,23419,Merchant_23419,saas,ES,ES,GBP,wallet,web,16.24,21.0,refunded,0.31,0.0,0.0,0,0,0,0,0,0,0
126,2025-02-16 14:56:11,151543,46.0,27166,Merchant_27166,ecommerce,AE,AE,EUR,wallet,web,33.04,22.0,captured,0.36,0.36,0.0,0,0,0,0,0,0,0
127,2024-02-27 19:32:18,198165,39.0,28869,Merchant_28869,food_delivery,IT,IT,GBP,card,ios,38.78,7.0,captured,0.54,0.54,0.0,0,0,0,0,0,0,0
128,2025-07-12 10:46:47,122546,65.0,26351,Merchant_26351,food_delivery,NL,NL,EUR,card,web,29.29,9.0,captured,0.67,0.67,0.0,0,0,0,0,0,0,0
129,2025-02-23 11:00:10,165280,50.0,21597,Merchant_21597,saas,GB,GB,GBP,wallet,android,49.14,24.0,captured,0.81,0.81,0.0,0,0,0,0,0,0,0
130,2025-04-08 08:15:53,113229,41.0,26800,Merchant_26800,ecommerce,GB,GB,USD,card,android,18.43,15.0,captured,0.31,0.31,0.0,0,0,0,0,0,0,0
131,2025-02-16 17:20:26,106568,21.0,20370,Merchant_20370,unknown,GB,GB,EUR,card,android,29.49,5.0,captured,0.76,0.76,0.0,0,0,1,0,0,0,0
132,2025-02-08 02:42:39,195724,24.0,22309,Merchant_22309,ecommerce,TR,GB,TRY,card,web,1440.77,17.0,captured,34.63,34.63,0.0,0,0,0,0,0,0,1
133,2024-03-07 02:43:25,112981,42.0,21237,Merchant_21237,ecommerce,TR,TR,EUR,card,android,18.89,6.0,disputed,0.52,0.0,16.06,0,0,0,0,0,0,0
134,2025-02-12 05:18:34,165580,26.0,29847,Merchant_29847,saas,TR,TR,TRY,card,unknown,810.05,5.0,captured,23.8,23.8,0.0,0,1,0,0,0,0,0
135,2025-08-03 06:52:08,151420,45.0,23683,Merchant_23683,saas,FR,FR,EUR,card,android,55.49,3.0,captured,1.23,1.23,0.0,0,0,0,0,0,0,0
136,2024-08-09 21:12:20,180923,61.0,25583,Merchant_25583,gaming,TR,TR,TRY,card,ios,673.92,11.0,captured,16.58,16.58,0.0,0,0,0,0,0,0,0
137,2025-03-16 01:43:33,154660,34.0,27905,Merchant_27905,ecommerce,GB,GB,EUR,card,android,52.64,11.0,captured,1.21,1.21,0.0,0,0,0,0,0,0,0
138,2024-01-23 11:55:42,169696,66.0,29694,Merchant_29694,unknown,TR,TR,TRY,card,web,2882.7,30.0,captured,43.71,43.71,0.0,0,0,1,0,0,0,0
139,2024-09-10 16:11:09,189412,47.0,29953,Merchant_29953,marketplace,TR,TR,TRY,bank_transfer,ios,1107.08,17.0,captured,26.12,26.12,0.0,0,0,0,0,0,0,0
140,2024-11-14 19:17:19,182946,22.0,21641,Merchant_21641,utilities,GB,GB,USD,card,android,70.56,7.0,captured,1.69,1.69,0.0,0,0,0,0,0,0,0
141,2025-12-18 09:34:35,172185,43.0,23938,Merchant_23938,ecommerce,IT,IT,USD,card,android,28.59,0.0,captured,0.75,0.75,0.0,0,0,0,0,0,0,0
142,2024-06-05 15:31:24,116248,32.0,24050,Merchant_24050,food_delivery,US,US,USD,card,web,9.21,14.0,captured,0.27,0.27,0.0,0,0,0,0,0,0,0
143,2024-07-20 21:07:36,116941,37.0,27961,Merchant_27961,gaming,IT,IT,GBP,card,android,20.49,27.0,captured,0.43,0.43,0.0,1,0,0,0,0,0,0
144,2024-10-25 05:25:18,149694,24.0,23356,Merchant_23356,ecommerce,TR,TR,TRY,wallet,unknown,926.47,24.0,captured,17.93,17.93,0.0,0,1,0,0,0,0,0
145,2025-12-25 15:30:05,165884,43.0,22312,Merchant_22312,food_delivery,US,US,EUR,card,web,9.3,5.0,captured,0.17,0.17,0.0,0,0,0,0,0,0,0
146,2025-09-14 23:37:18,166711,44.0,27549,Merchant_27549,ecommerce,TR,TR,TRY,card,ios,803.12,3.0,captured,23.82,23.82,0.0,0,0,0,0,0,1,0
147,2024-01-26 07:49:14,178666,23.0,24950,Merchant_24950,ecommerce,TR,TR,TRY,wallet,ios,742.11,17.0,captured,17.59,17.59,0.0,0,0,0,0,0,0,0
148,2024-06-19 18:37:11,110338,62.0,27474,Merchant_27474,ecommerce,TR,TR,TRY,card,android,1832.85,32.0,captured,30.69,30.69,0.0,0,0,0,0,0,0,0
149,2025-08-22 19:44:10,117344,58.0,23798,Merchant_23798,food_delivery,TR,TR,TRY,card,android,2485.02,27.0,captured,40.77,40.77,0.0,0,0,0,0,0,0,0
150,2024-02-12 13:27:50,114995,48.0,24864,Merchant_24864,travel,FR,FR,EUR,card,android,80.01,6.0,captured,1.91,1.91,0.0,0,0,0,0,0,0,0
151,2025-09-16 15:21:12,154104,30.0,20091,Merchant_20091,food_delivery,DE,DE,USD,unknown,android,30.7,13.0,captured,0.61,0.61,0.0,0,0,0,1,0,0,0
152,2024-07-24 09:50:44,163397,35.0,20161,Merchant_20161,gaming,TR,TR,TRY,card,ios,368.61,22.0,captured,6.8,6.8,0.0,0,0,0,0,0,0,0
153,2025-10-31 21:15:55,111553,43.0,20003,Merchant_20003,saas,IT,IT,EUR,wallet,ios,19.08,24.0,captured,0.34,0.34,0.0,0,0,0,0,0,0,0
